fields/netid
yw358
hs722
jmk457
cd484
ly267
cc2394
kw382
Loo
sw759
jsc384
Ase45
yl794
ds974
jmz66
efb82
jz493
keo29
ckp42
gtk28
sh777
ih235
ats92
ocn2
Eig25
jbh282
arc276
db683
cas485
mb2222
oma28
sjr274
yy372
Rgb223
jh2374
Pab269
gk324
Lmf232
rl446
dgh78
shh86
nf238
ssl237
zw63
vb273
rs2227
cm744
yj252
lav11
Xy286
mts232
beh83
gnr22
kdf53
sbs277
rp442
djr277
mc994
ak2462
qt32
dk446
jt699
rz94
rwz8
jk2283
bt262
ll556
Mjc463
djd258
na428
nnk24
mh876
ct542
sks277
rml254
jf289
kdc58
lo72
ijr24
az377
sk2663
mjw296
az276
acf67
bms262
ob75
cam476
Wsp29
nc476
Sab455
bl459
ajf237
wz95
sak287
asl234
ioo7
kec88
sh864
mc2444
eds65
wd232
jme227
am2679
ejc52
